"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1740","Retornar a página home","webkit","2026-02-21","passed","2026-02-21","","app.spec.ts","",""
"","4232","Editar uma categoria","webkit","2026-02-21","passed","2026-02-21","","app.spec.ts","",""
"","1059","Retornar a página home","chromium","2026-02-21","passed","2026-02-21","","app.spec.ts","",""
"","1783","Preencher os campos nome e caloria incorretamente","firefox","2026-02-21","passed","2026-02-21","","app.spec.ts","",""
"","2712","Preencher os campos nome e caloria incorretamente","webkit","2026-02-21","passed","2026-02-21","","app.spec.ts","",""
"","10519","Preencher os campos nome e caloria corretamente","webkit","2026-02-21","passed","2026-02-21","","app.spec.ts","",""
"","3005","Excluir um item","webkit","2026-02-21","passed","2026-02-21","","app.spec.ts","",""
"","1246","Editar uma categoria","chromium","2026-02-21","passed","2026-02-21","","app.spec.ts","",""
"","1445","Editar uma categoria","firefox","2026-02-21","passed","2026-02-21","","app.spec.ts","",""
"","1313","Excluir um item","firefox","2026-02-21","passed","2026-02-21","","app.spec.ts","",""
"","1431","Preencher os campos nome e caloria corretamente","chromium","2026-02-21","passed","2026-02-21","","app.spec.ts","",""
"","1007","Excluir um item","chromium","2026-02-21","passed","2026-02-21","","app.spec.ts","",""
"","1225","Retornar a página home","firefox","2026-02-21","passed","2026-02-21","","app.spec.ts","",""
"","1053","Preencher os campos nome e caloria incorretamente","chromium","2026-02-21","passed","2026-02-21","","app.spec.ts","",""
"","2164","Preencher os campos nome e caloria corretamente","firefox","2026-02-21","passed","2026-02-21","","app.spec.ts","",""
